题型,题目,选项1,选项2,选项3,选项4,选项5,选项6,答案,答案解析,分值
单选题,"【正式题 1：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 1：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【正式题 2】
年级阶段：小学（六年级）
学科：语文
主题：黑孩子罗伯特

【对话 A】
［前段］
学生：课文前面写罗伯特觉得丽莎是白人女孩，平时都不怎么敢跟她说话，但捐钱的时候他跑去找丽莎妈妈，还把那枚…
老师：罗伯特的这枚金币在课文里出现了几次？它每次出现时，罗伯特的心情或处境有什么不同？我们来找找看。
学生：课文里金币出现了两次，第一次是他攒钱时把金币放进存钱罐里，那时候他特别开心，觉得这是最宝贝的东西。…
［中段］
学生：我觉得她愣住了那一刻，除了惊讶，可能还有一点愧疚，因为她之前说过黑人和白人不能一起玩，现在罗伯特却…
老师：你刚刚从丽莎妈妈‘愣住了’的表情里读出了愧疚和感动，那这种复杂情绪，能不能反过来解释她为什么之前会…
学生：我觉得能反过来解释。她之前说那句话，是因为她心里早就被那个年代的偏见填满了，觉得黑人和白人就是不一…
［后段］
老师：你刚才说这些搭配一层比一层厉害，那作者为什么要安排‘连丽莎妈妈看他他都躲开眼神’作为最后一步？放在…
学生：我觉得放在捐钱之前特别有用，因为这样一来，罗伯特是带着那种被所有人排斥的自卑感走进病房的，但他还是…
老师：你刚才提到罗伯特带着自卑感走进去捐钱，那老师考考大家：课文里描写罗伯特捐钱前，有没有直接写他心里在…

【对话 B】
［前段］
学生：课文里写罗伯特在学校里，看到丽莎被别的同学欺负时，他会“默默地站在一旁”，我觉得这个细节也能看出他…
老师：你找的这个‘默默地站在一旁’很细致。那老师想请你顺着这个思路，把罗伯特在学校和家里其他场景中的表现…
学生：老师，我还找到一处。课文里写罗伯特在家里的时候，会一个人躲在房间里看丽莎的照片，还会偷偷地跟照片上…
［中段］
学生：老师，我回看了第3自然段，课文里写罗伯特是“攒了好几个月”才攒下这些钱的，而且他把买糖果和看电影的…
老师：你说得很准确，罗伯特为了攒钱省下了买糖果和看电影的钱，攒了好几个月。那你能想一想，对于一个像罗伯特…
学生：老师，我觉得好几个月不吃糖果、不看电影，对一个孩子来说真的太难了。糖果和电影是我们平时最开心的事，…
［后段］
老师：你把这些动作和内心感受联系得很紧密。那老师想再追问一个更细的层次：课文里写罗伯特'愣了一下'，这个…
学生：老师，我觉得罗伯特会“愣”一下，是因为他已经习惯了别人对他冷淡甚至嫌弃的态度，所以丽莎这么自然地跟…
老师：你说得很有道理。那老师想问你，课文里除了这次丽莎跟他说话时他‘愣’了一下，还有没有其他地方写到罗伯…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 2：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 2：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 2：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 2：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【正式题 3】
年级阶段：小学（一年级）
学科：语文
主题：雨点儿

【对话 A】
［前段］
老师：刚才你说到‘没有花没有草’就像空花盆，那如果花盆里一直没有雨点儿去，会发生什么？课文里是怎么告诉我…
老师：课文里写大雨点儿去的地方，原来没有花没有草，后来长出了花和草。那你找一找，课文里是用哪一句话告诉我…
学生：老师，我从课文里找到了，就是最后那句‘没有花没有草的地方，开出了红的花，长出了绿的草’，这句话就告…
［中段］
学生：‘飘落下来’感觉是慢慢悠悠地飘下来，像羽毛一样轻，而‘落下来’就是直接掉下来，没有那种轻轻的感觉。
老师：课文里说雨点儿‘飘落下来’，那你能找一找，课文中还有哪些表示动作的词语，比如雨点儿到了地上之后做了…
学生：老师，我找到了，课文里说大雨点儿去了之后‘开出了红的花，长出了绿的草’，‘开出’和‘长出’就是雨点…
［后段］
学生：老师，我找到了，课文里写‘开出了红的花，长出了绿的草’，‘开出’和‘长出’就是写花草的动作。
老师：我们把刚才找到的‘飘落、开出、长出、喝足’这些动作词连起来想一想，雨点儿从天上到地上，花草从土里到…
学生：先雨点儿从天上飘落下来，接着种子喝足了水，最后种子钻出土来开出了花长出了草。

【对话 B】
［前段］
学生：课文里写“小花小草张开小嘴巴，咕咚咕咚地喝水”，它们是用小嘴巴喝的！
老师：你从课文里找到了“张开小嘴巴”和“咕咚咕咚地喝水”，那老师想问问你：小花小草为什么要张开小嘴巴才能…
学生：因为小花小草没有手，它们只能靠小嘴巴来喝水，张开小嘴巴才能把雨水喝进去，就像我们喝水的时候也要张开…
［中段］
学生：老师，您说得对，我也记住了！就像课文里的雨点儿一样，我喂小金鱼也要天天坚持，把这份耐心记在心里。
老师：那你觉得，耐心是什么样的一种感觉呢？是像喂小金鱼时那种惦记着它的感觉，还是别的什么？
学生：我觉得耐心就是心里一直惦记着它，就像我喂小金鱼的时候，就算放学回家很累了，也会先跑过去看看它，想它…
［后段］
老师：你发现了盼头是从天天看着小花小草长大的过程中慢慢变清楚的。那老师想问问你，雨点儿心里想着小花小草长…
学生：老师，我觉得盼头让雨点儿等待的时候心里不着急了！就像我攒零花钱的时候，想着最后能买到喜欢的玩具，等…
老师：说得真好啊！你发现了盼头让等待变得甜甜的——想着目标近了一步，心里就不着急了，反而觉得每一天都有滋…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 3：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 3：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 3：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 3：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,注意力题（不计分）：对话 A 连续两次重复同一句话；对话 B 紧扣主题补充了解释和例子。哪段对话较少重复？,A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,E,应选择‘B 好很多’；本题仅用于注意力检查。,0
单选题,"【正式题 4】
年级阶段：初中（初三）
学科：语文
主题：阅读

【对话 A】
［前段］
学生：听了您这么一分析，我确实有种豁然开朗的感觉。以前读这篇课文，总觉得爱情是个很抽象、很宏大甚至有点遥…
老师：你说得太好了！你刚刚把‘情感藏在细节里’这个感悟，和我们刚才分析的文本细节——比如老头‘望着远方’…
学生：老师，听了您刚才的肯定，我觉得自己是真的开始读懂这篇课文了。以前我总觉得‘爱情’是个离我们很远的词…
［中段］
学生：老师，那我想把这些变化串起来看：上帝三次来访，看到的画面一次比一次更简单——从两个人安详地坐在一起…
老师：你总结得特别好！你刚才说的‘画面越简单，情感反而越深’——这句话把三次来访的变化规律讲透了。你能从…
学生：老师，我想接着您说的‘画面越简单，情感反而越深’再具体说说。因为第一次两个人都在，画面是完整的，但…
［后段］
老师：你把这个顺序讲得非常透彻——从‘欢喜和凄凉’到‘分明地叫出老爷’，每一步都在把旧日的‘哥弟’往回收…
学生：我觉得最后那一刻最重的不是悲哀也不是麻木，而是认命。因为悲哀是他心里还存着旧情才会有的感受，麻木是…
老师：你点出了‘认命’这个关键词，非常深刻。那老师想请你沿着这个‘认命’再往深处走一步：闰土认命之后，他…

【对话 B】
［前段］
学生：我觉得是的，因为前两次上帝能带走美和力量，说明那些东西是会随着时间消失的，可第三次那种相望的眼神他…
老师：你说得太好了，从上帝三次降临的对比中提炼出‘永恒的是惦记和认定’，还联想到生活中的真实画面——这份…
学生：老师，我同意您的说法。您刚才肯定我读懂了父亲的心意，这让我更有信心了。而且我觉得，正因为我们是从故…
［中段］
老师：你刚才说父亲这句话里揉进了遗憾和等待，还联想到爷爷那句‘日子要慢慢过’——你能从一个长辈的话里听出…
学生：我之所以觉得这句话有温度，是因为它不是凭空说出来的道理，而是父亲真的经历过等待和遗憾之后，才愿意把…
老师：你刚才说‘文字的温度藏在说话人自己的人生里’，这个发现特别深刻。那老师想请你顺着这个思路，回到信里…
［后段］
老师：你刚刚提到爸爸说的那句话，和信里父亲的话几乎是一个意思——那你觉得，如果现在让你把这句话亲口对爸爸…
学生：我会跟爸爸说：爸，你去年跟我讲‘有些事急不得，时机到了自然就懂了’，我当时没听懂，但今天我读到了一…
老师：听完你刚才想对爸爸说的那番话，我想知道——当你把信里父亲的话和爸爸去年对你说的话放在一起时，你个人…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 4：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 4：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 4：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 4：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【正式题 5】
年级阶段：小学（四年级）
学科：语文
主题：三月桃花水

【对话 A】
［前段］
老师：你找得很完整！那老师想问问你，“竖琴”和“小铃铛”都是写声音的，它们的声音给你的感觉一样吗？有什么…
学生：我觉得不一样，小铃铛的声音是叮叮当当的，很轻快，像在玩游戏；竖琴的声音更像是一段长长的音乐，很优美…
老师：你刚才说小铃铛是单个响，竖琴是一串声音连起来的，那如果让你选，你觉得春天的河水更像小铃铛还是更像竖…
［中段］
学生：老师，我发现《小池》是先写安静的画面再写动的画面，桃花水是先让声音响起来再让画面亮起来，一个是慢慢…
老师：你发现《小池》是从静到动、桃花水是先声后景，那我们能不能把这两种顺序都记住，当作写景的两把钥匙？你…
学生：我更喜欢桃花水那种先声后景，因为平时我走在路上，都是先听到小鸟叫，然后才抬头去找小鸟在哪里，这样写…
［后段］
老师：你说得对，那我们先确认一下：推土机的声音是‘轰隆隆’，扫地声是‘沙沙沙’，你觉得这两种声音带给人的…
学生：我觉得不一样！轰隆隆的推土机是重的、响的，像打雷一样；沙沙沙的扫地声是轻的、细的，像下雨一样，两种…
老师：你刚才说两种声音感觉完全不同，那我们一起回头检验一下：如果坚持用‘扫地声’开头，是继续用‘像下雨’…

【对话 B】
［前段］
学生：老师，我有个问题，您说水面把春天‘装进怀里’，那作者为什么不直接写‘水面映出了桃花和柳树’，而要写…
老师：你这个问题问得真有价值！既然你提到了‘三月桃花水’这个名字像给水面取了个小名，那老师想请你仔细看看…
学生：我觉得‘三月’让我想到春风暖暖的，小草刚从土里钻出来，河水也不再冰手了；‘桃花’让我想到粉粉的花瓣…
［中段］
学生：我觉得是一样的！因为不管是听到叮当声心里轻松，还是作者写这句话时心里的开心，都是因为心里没有烦恼，…
老师：你归纳得太准确了！'心里没有烦恼，觉得眼前的东西特别美好'——你把轻松和开心这两种感觉连在了一起，…
学生：老师，您说的‘干干净净的欢喜’我特别懂！就像我早上刚擦干净桌子，阳光照在上面亮亮的，心里什么烦恼都…
［后段］
老师：你总结得非常到位！你看，我们刚才从‘叮当声’里尝到了作者心里的甜，现在又从‘明镜’里看到了桃花水的…
学生：老师，我特别同意您的说法！您说‘叮当声’是甜的，‘明镜’是亮的，我觉得它们就像一对双胞胎，都是作者…
老师：你这个‘双胞胎’和‘两件不同的衣服’的比喻太妙了！一个声音、一个景物，表面不同，可你一眼就看出它们…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 5：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 5：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 5：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 5：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,这些对话片段够不够您作出判断？,完全不够,不太够,基本够,比较够,完全够,,,,0
问答题,可选：您主要根据什么作出判断？还有什么想告诉我们？（最多 100 字）,,,,,,,,,0
